Airfoils,t0.75c,Cd,Cl/Cd,cluster
NACA 63A010,0.0509,0.01236,40.45307443,2
NACA 63012A,0.060520000000000004,0.012440000000000001,40.19292605,2
NACA 63-015A,0.07462,0.013640000000000001,36.6568915,2
NACA 63-215,0.06238,0.01205,41.49377593,2
NACA 63(2)-215 MOD B,0.0623,0.01325,37.73584906,2
NACA 63-415,0.06234,0.01236,40.45307443,2
NACA 64-012A,0.062360000000000006,0.01259,39.71405878,2
NACA 642-015,0.06592,0.01294,38.63987635,2
NACA 642-015A,0.07694,0.0141,35.46099291,2
NACA 64(1)-212 MOD A,0.053871,0.01295,38.61003861,2
NACA 64-215,0.06592,0.01278,39.12363067,2
NACA 63(2)-615,0.0623,0.01201,41.63197336,2
NACA 63(2)A-015,0.07447999999999999,0.01259,39.71405878,2
NACA 63(3)-018,0.0731,0.01454,34.38789546,2
NACA 63(3)-218,0.07297999999999999,0.01341,37.28560776,2
NACA 63(3)-618,0.0729,0.01349,37.06449222,2
NACA 63(4)-421,0.08313999999999999,0.013940000000000001,35.86800574,2
NACA 63A210,0.05088,0.012159999999999999,41.11842105,2
NACA 64(2)-215,0.06592,0.01278,39.12363067,2
NACA 64(2)-415,0.06588,0.012190000000000001,41.01722724,2
NACA 64(3)-218,0.0773,0.01318,37.93626707,2
NACA 64(3)-418,0.07728,0.01275,39.21568627,2
NACA 64(3)-618,0.07718,0.013609999999999999,36.73769287,2
NACA 64A-010 10.0%,0.052410000000000005,0.0124,40.32258065,2
NACA 65(1)-212,0.06118,0.01205,41.49377593,2
NACA 65(1)-212 a=0.6,0.06114,0.01236,40.45307443,2
NACA 65(2)-215,0.07486,0.0125,40.0,2
NACA 65(2)-415,0.07484,0.01215,41.15226337,2
NACA 65(2)-415 a=0.5,0.0747,0.01299,38.49114704,2
NACA 66(1)-212,0.07532,0.01256,39.8089172,2
NACA 66-210,0.06352000000000001,0.01184,42.22972973,2
NACA 66(2)-215,0.09262000000000001,0.01356,36.87315634,2
NACA 66(2)-415,0.09258,0.01321,37.85011355,2
NACA 22112,0.063199,0.0137,36.49635036,2
NACA 23012  12%,0.06319,0.015090000000000001,33.13452618,2
NACA 23112,0.063193,0.01329,37.62227239,2
NACA 24112,0.063183,0.01399,35.73981415,2
NACA 25112,0.063163,0.01407,35.5366027,2
NACA 0012,0.062480999999999995,0.014130000000000002,35.38570418,2
NACA 0010,0.0524,0.01299,38.49114704,2
NACA0012H,0.0632,0.01511,33.09066843,2
NACA 1410,0.05239,0.01284,38.94080997,2
NACA 1412,0.06285,0.01241,40.29008864,2
NACA 2412,0.06285,0.01237,40.42037187,2
NACA 4412,0.0631,0.01275,39.21568627,2
NACA 4415,0.07919,0.01179,42.40882103,2
NACA 6412,0.06284,0.012709999999999999,39.33910307,2
DOUGLAS LA203A,0.064606,0.013019999999999999,38.40245776,2
LA2573A,0.049701999999999996,0.01238,40.38772213,2
NASA LRN 1015,0.077168,0.01353,36.954915,2
LWK 79-100,0.033280000000000004,0.014459999999999999,34.57814661,2
GOE 14K AIRFOIL,0.0973,0.012620000000000001,39.61965135,2
AH 93-W-215,0.09473,0.013030000000000002,38.37298542,2
WORTMANN FX L V-152,0.0592,0.013369999999999998,37.39715782,2
NACA M6,0.06975,0.013040000000000001,38.34355828,2
NACA M3,0.0684,0.014169999999999999,35.2858151,2
NACA/Munk M6 (85%),0.0592875,0.01272,39.3081761,2
MH 102  16.99%,0.067841514,0.014280000000000001,35.014005600000004,2
MH 104  15.28%,0.06108848,0.01486,33.6473755,2
MH 25  9.98%,0.072216762,0.01375,36.36363636,2
FAUVEL 14% AIRFOIL,0.0552,0.01286,38.88024883,2
WORTMANN FX 05-188 AIRFOIL,0.08921,0.01188,42.08754209,2
FX 67-K-170/17 AIRFOIL,0.08805,0.013640000000000001,36.6568915,2
FX 76-MP-160,0.07867,0.013319999999999999,37.53753754,2
FX 75-VG-166/22,0.08922999999999999,0.011290000000000001,44.28697963,2
FX 76-MP-120,0.06072999999999999,0.01277,39.15426782,2
WORTMANN FX 75-193,0.09068,0.013269999999999999,37.67897513,2
FX 61-140 AIRFOIL,0.05326,0.01326,37.70739065,2
WORTMANN FX 60-126/1 AIRFOIL,0.04189,0.013090000000000001,38.19709702,2
FX 61-147 AIRFOIL,0.05997,0.01355,36.900369,2
FX LIII-142 K 25 AIRFOIL,0.052000000000000005,0.0125,40.0,2
FX 84-W-127,0.061970000000000004,0.01218,41.05090312,2
FX 61-147 AIRFOIL,0.05997,0.01355,36.900369,2
